"","size","rep","tau","alph","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio","r_actual"
"6408",1000,102,0.02,1.5,0.4,0.0278141332251611,0.0934583628425686,8,1,0.9,0.4673209196295,1.96117080233371,1,0,0.001,0.002,0,Inf,0.934981401864644
"6409",1000,103,0.02,1.5,0.4,-0.0288494157154923,0.0310106077515684,5,1,0,0.00900997878288839,2.37871727486021,2,2.00690626649296,0.002,0.002,0.002,1,0.0180749638742907
"6410",1000,103,0.02,1.5,0.4,-0.00239623190276737,0.0399715757683425,6,1,0.3,0.155916475605352,1.00149727007259,1,0,0.001,0,0.002,0,0.312366370094489
"6411",1000,103,0.02,1.5,0.4,2.71434173565927e-05,0.0464199211321737,7,1,0.6,0.315722211770718,0.474463364626124,1,0,0.001,0,0.002,0,0.633127201808121
"6412",1000,103,0.02,1.5,0.4,0.0894099918248823,0.0981592818698065,8,1,0.9,0.464353763396508,0.983988370187045,1,0,0.001,0.002,0,Inf,0.934970606788811
"6413",1000,104,0.02,1.5,0.4,-0.0387880901876983,0.0307141352433116,5,1,0,-0.01719461292604,0.185074658040054,1,0,0.001,0.002,0,Inf,-0.034447481074806
"6414",1000,104,0.02,1.5,0.4,-0.0108678437903767,0.0378568282615153,5,1,0.3,0.166997602637401,0.0909055457551381,1,0,0.001,0.002,0,Inf,0.333997476705888
"6415",1000,104,0.02,1.5,0.4,-0.003727669935011,0.044751516138223,7,1,0.6,0.316203253692874,0.542264610113972,1,0,0.001,0,0.002,0,0.63297199970485
"6416",1000,104,0.02,1.5,0.4,0.0668320582407216,0.0970424885776039,7,1,0.9,0.467113758527337,2.54537398093037,2,2.06364148312126,0.002,0.004,0,Inf,0.9349544422547
"6417",1000,105,0.02,1.5,0.4,-0.039121120737212,0.0307697223376042,5,1,0,-0.00450669963752834,0.904828316175148,1,0,0.001,0,0.002,0,-0.00902051398222947
"6418",1000,105,0.02,1.5,0.4,-0.0123058613728179,0.0395472041720127,6,1,0.3,0.163055344569315,0.0133643057761883,1,0,0.001,0,0.002,0,0.326329216113147
"6419",1000,105,0.02,1.5,0.4,0.0186208489262207,0.0478775240749861,7,1,0.6,0.317038578121526,2.81772833173422,5,0.72272977696291,0.005,0.008,0.002,4,0.634093104114352
"6420",1000,105,0.02,1.5,0.5,0.0596577088604134,0.0987774233216303,7,1,0.9,0.466064411891643,1.47893477808079,1,0,0.001,0.002,0,Inf,0.934441555092738
"6421",1000,106,0.02,1.5,0.4,-0.0105136603100767,0.0331230812168574,5,1,0,0.000123359044032795,0.747921855220222,1,0,0.001,0.002,0,Inf,0.000247401487419269
"6422",1000,106,0.02,1.5,0.4,0.00191036362249032,0.0380943070355525,6,1,0.3,0.165492988494068,1.57254443447462,1,0,0.001,0,0.002,0,0.331187606442109
"6423",1000,106,0.02,1.5,0.4,0.00246613315776194,0.044997537754432,8,1,0.6,0.310991630860485,0.0880458102507219,1,0,0.001,0,0.002,0,0.624540739174762
"6424",1000,106,0.02,1.5,0.4,0.0718122099386857,0.0938307654638942,8,1,0.9,0.466696699929276,1.31494579239354,1,0,0.001,0,0.002,0,0.933399747670589
"6425",1000,107,0.02,1.5,0.4,-0.0376103157513146,0.0328125980299893,5,1,0,-0.0100582590298479,0.58521347669756,1,0,0.001,0.002,0,Inf,-0.0202190566327727
"6426",1000,107,0.02,1.5,0.4,-0.00357944549064126,0.0367214727074469,6,1,0.3,0.165561297734729,8.1394689573527,5,5.65681125000002,0.013,0.02,0.006,3.33333333333333,0.331146101965832
"6427",1000,107,0.02,1.5,0.4,0.0216042484775969,0.0498067840274796,6,1,0.6,0.316749466051112,0.236804171857364,1,0,0.001,0,0.002,0,0.634135971420401
"6428",1000,107,0.02,1.5,0.4,0.0933378560199837,0.0948363145460682,8,1,0.9,0.467073758889507,3.57582929111532,2,2.48179110839244,0.002,0.004,0,Inf,0.93419898284251
"6429",1000,108,0.02,1.5,0.4,-0.0371793015293478,0.0324135797860426,5,1,0,0.00061778112673011,0.365777256212263,1,0,0.001,0.002,0,Inf,0.00123626674500421
"6430",1000,108,0.02,1.5,0.4,0.00203962150579494,0.036133979190651,6,1,0.3,0.162678185006373,1.15800079977632,2,0.474574756393809,0.002,0.002,0.002,1,0.325428081402633
"6431",1000,108,0.02,1.5,0.4,-0.00669574763478628,0.0488732892873997,7,1,0.6,0.31599784307788,0.133729121130044,1,0,0.001,0.002,0,Inf,0.632059273032038
"6432",1000,108,0.02,1.5,0.4,0.0790895788619726,0.0904843657651065,8,1,0.9,0.463982821081097,2.15765139059942,3,1.17191183290531,0.004,0.004,0.004,1,0.934922000825045
"6433",1000,109,0.02,1.5,0.4,-0.0255954467428425,0.0316968464542784,5,1,0,-0.00219476886024172,0.397292380504382,1,0,0.001,0,0.002,0,-0.00439384063950342
"6434",1000,109,0.02,1.5,0.4,-0.00640317745479428,0.0356306725249351,5,1,0.3,0.140117926497647,0.240131345640291,1,0,0.001,0.002,0,Inf,0.280237217518285
"6435",1000,109,0.02,1.5,0.4,0.00923468277736354,0.047476397966594,7,1,0.6,0.314715762130926,0.104134204140177,1,0,0.001,0,0.002,0,0.629593671666903
"6436",1000,109,0.02,1.5,0.4,0.0643772598934571,0.0983981485683169,7,1,0.9,0.464807360899147,0.0960459533827287,1,0,0.001,0.002,0,Inf,0.932771477168915
"6437",1000,110,0.02,1.5,0.4,-0.0299867413519721,0.0302413947250782,5,1,0,0.00450901349987776,3.44464325875217,2,1.11298736591557,0.002,0,0.004,0,0.00901810865191145
"6438",1000,110,0.02,1.5,0.4,-0.0199533512436559,0.0334951926700331,5,1,0.3,0.139903984772774,1.3290322657639,1,0,0.001,0,0.002,0,0.279816797488523
"6439",1000,110,0.02,1.5,0.4,-0.00827280906433511,0.0465343024286474,7,1,0.6,0.31395361611414,1.97066709445779,2,0.282025301254577,0.003,0,0.006,0,0.632331963708064
"6440",1000,110,0.02,1.5,0.4,0.0416219907671325,0.0938204861981311,8,1,0.9,0.465586347809728,0.649020190647819,1,0,0.001,0.002,0,Inf,0.934378657006567
"6441",1000,111,0.02,1.5,0.4,-0.0254131898472305,0.0318472030367961,5,1,0,-0.00881649964939948,2.98831933855348,2,0.220186335636588,0.003,0.004,0.002,2,-0.0176361851385686
"6442",1000,111,0.02,1.5,0.4,-0.0206060514725693,0.0371338149867788,5,1,0.3,0.141006449639792,0.816248824676179,1,0,0.001,0,0.002,0,0.282418862774771
