"","size","rep","tau","delt","alph","mod","psi","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_m","prev_f","prev_ratio","prev_l","r_actual"
"114",1000,7,0.1,"0.025",1,"i",0.3,3.29625543296556,0.0121122668727557,0.0477426945664412,7,1,0.6,0.312729059797245,199.999444042,72,189.464673155354,48.6676232064878,NA,NA,1.03149889984228,448.909865578493,0.630146774875255
"115",1000,8,0.1,"0.025",1,"i",0.3,3.06750250752257,-0.0198153154555554,0.0329594872968643,5,1,0,-0.000118892283671401,199.99879656554,75,17.4315912503462,49.3689585993069,NA,NA,0.972467509428021,492.796777607903,-0.000238175651096152
"116",1000,8,0.1,"0.025",1,"i",0.3,3.34065529923103,0.00861346615290775,0.0489396411092985,7,1,0.6,0.314263049932144,199.99208805421,73,60.5088378041799,47.1746680286006,NA,NA,1.0406215806636,462.034801392056,0.629257906256012
"117",1000,9,0.1,"0.025",1,"i",0.3,3.01504513540622,-0.0286289194762888,0.0315701929474385,5,1,0,0.0091186297105961,199.981651076225,74,14.3614443421084,48.7522265217124,NA,NA,1.06788930489999,482.30410403245,0.0182889426957224
"118",1000,9,0.1,"0.025",1,"i",0.3,3.27572718154463,0.0258408725184379,0.0516549802504669,7,1,0.6,0.315552454756446,199.998708535541,68,13.3839998640724,47.8929894010982,NA,NA,1.00650896200399,452.230921459493,0.632747645023993
"119",1000,10,0.1,"0.025",1,"i",0.3,3.13009027081244,-0.0163637423590355,0.0354728105873682,5,1,0,0.00671500962264932,199.998246011632,74,80.9530460311863,48.7150581070163,NA,NA,1.05975226911797,480.743408203125,0.0134301575989893
"120",1000,10,0.1,"0.025",1,"i",0.3,3.32166499498496,0.0125308352763072,0.0494610019023462,6,1,0.6,0.31562571365048,199.9480033624,71,165.069026937317,48.9070161138629,NA,NA,1.01640099657019,443.393191081275,0.631531611324036
"121",1000,1,0.1,"0.05",1,"i",0,3.06111668338348,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,199.213581623953,22,71.4501795487394,624,NA,NA,Inf,69.6531791907514,-0.00277125828867084
"122",1000,1,0.1,"0.05",1,"i",0,3.30959545302574,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,197.446175833018,26,52.1534666728962,610,NA,NA,Inf,27.2857142857143,0.623206659253171
"123",1000,2,0.1,"0.05",1,"i",0,3.03233032430625,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,198.394580489959,17,62.1201882672211,565,NA,NA,Inf,62.3312597200622,0.0404872521050336
"124",1000,2,0.1,"0.05",1,"i",0,3.42657973921765,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,197.506189590823,24,67.5217290301622,566,NA,NA,Inf,36.5289575289575,0.630880186003806
"125",1000,3,0.1,"0.05",1,"i",0,3.07572718154463,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,199.782324981301,21,54.094626066424,644,NA,NA,Inf,53.8235294117647,-0.0189592336685969
"126",1000,3,0.1,"0.05",1,"i",0,3.33176195252424,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,193.705396848764,25,64.888798691167,619,NA,NA,Inf,29.6330275229358,0.626105340377575
"127",1000,4,0.1,"0.05",1,"i",0,3.02564359745904,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,199.896040282258,25,76.5308183847973,626,NA,NA,Inf,61.8675721561969,0.0142370159678754
"128",1000,4,0.1,"0.05",1,"i",0,3.29030424607155,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,195.647074488256,24,50.4584255293157,571,NA,NA,Inf,24.8263473053892,0.632714598391399
"129",1000,5,0.1,"0.05",1,"i",0,3.01257104647275,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,199.820330643752,23,82.84588908916,655,NA,NA,Inf,78.6670716889429,-0.0182319244652361
"130",1000,5,0.1,"0.05",1,"i",0,3.31370779003678,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,198.582027306554,21,50.8194252925892,581,NA,NA,Inf,32.1463414634146,0.632280843486507
"131",1000,6,0.1,"0.05",1,"i",0,2.97268472082915,-0.0117200663138971,0.0308053940368675,5,1,0,-0.01220449714238,198.163303221116,26,64.1108663793478,681,NA,NA,Inf,35.6404494382022,-0.0244515642202204
"132",1000,6,0.1,"0.05",1,"i",0,3.19327983951856,0.0361283070816427,0.0491252316487106,6,1,0.6,0.314442605650452,174.843515148285,23,45.8397563578744,608,NA,NA,Inf,26.4497041420118,0.628886122355045
"133",1000,7,0.1,"0.05",1,"i",0,2.93610832497493,-0.00934271302426,0.0303692822737676,5,1,0,-0.00229553253541975,199.402547822825,22,76.9967783967291,609,NA,NA,Inf,79.5627198124267,-0.00460018835575634
"134",1000,7,0.1,"0.05",1,"i",0,3.29625543296556,0.0121122668727557,0.0477426945664412,7,1,0.6,0.312729059797245,193.761598631289,23,78.4604723319508,543,NA,NA,Inf,52.8005698005698,0.630146774875255
"135",1000,8,0.1,"0.05",1,"i",0,3.06750250752257,-0.0198153154555554,0.0329594872968643,5,1,0,-0.000118892283671401,199.581014491647,23,76.7587372774489,665,NA,NA,Inf,52.5225988700565,-0.000238175651096152
"136",1000,8,0.1,"0.05",1,"i",0,3.34065529923103,0.00861346615290775,0.0489396411092985,7,1,0.6,0.314263049932144,173.072024124277,21,33.1578981287486,586,NA,NA,Inf,37.9545454545455,0.629257906256012
"137",1000,9,0.1,"0.05",1,"i",0,3.01504513540622,-0.0286289194762888,0.0315701929474385,5,1,0,0.0091186297105961,198.217070857953,28,51.5744553020066,692,NA,NA,Inf,37.9015151515151,0.0182889426957224
"138",1000,9,0.1,"0.05",1,"i",0,3.27572718154463,0.0258408725184379,0.0516549802504669,7,1,0.6,0.315552454756446,199.317626989442,23,52.7805450962018,596,NA,NA,Inf,49.0155763239875,0.632747645023993
"139",1000,10,0.1,"0.05",1,"i",0,3.13009027081244,-0.0163637423590355,0.0354728105873682,5,1,0,0.00671500962264932,199.9672242905,16,29.3858840108424,606,NA,NA,Inf,54.5609284332689,0.0134301575989893
"140",1000,10,0.1,"0.05",1,"i",0,3.32166499498496,0.0125308352763072,0.0494610019023462,6,1,0.6,0.31562571365048,198.749742139944,20,91.7930857586955,584,NA,NA,Inf,72.6500956022945,0.631531611324036
"141",1000,1,0.1,"0.05",1,"i",0.1,3.06111668338348,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,199.997286669423,60,177.694832341573,38.9518641565153,NA,NA,0.878964096876444,285.668761098211,-0.00277125828867084
