"","size","rep","tau","degAssort","clustering","pathLen","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio"
"7478",500,50,0.375,0.0901402547738662,0.136371436743255,7,0.731970944206405,0.365956786999664,7.11117743234761,176,1.09066152133386,0.77,0.768,0.772,0.994818652849741
"7479",500,50,0.375,0.145721341004355,0.17911092706289,6,0.834989110755127,0.417441550712727,7.86837540449262,135,0.856712186092393,0.69,0.696,0.684,1.01754385964912
"7480",500,50,0.375,0.177577984469329,0.241140529531568,7,0.915712626845064,0.445933872854835,7.5779531685614,178,0.913528861520841,0.778,0.74,0.816,0.906862745098039
"7481",1000,50,0.375,-0.0186051609414437,0.0293729741812898,5,0.0114323536380588,0.00571616554779691,8.25624079003531,354,1.2250953206096,0.878,0.87,0.886,0.981941309255079
"7482",1000,50,0.375,-0.00219600606056875,0.0365118104310243,5,0.0911159831356973,0.0453690861953966,9.18538877135033,372,1.05612973572487,0.862,0.856,0.868,0.986175115207373
"7483",1000,50,0.375,0.00867569084367917,0.0372892347600519,5,0.181704919721107,0.0907366231090463,10.5423164263887,344,1.16974850241611,0.82,0.796,0.844,0.943127962085308
"7484",1000,50,0.375,0.0238859561099265,0.0424900980859756,6,0.334829621736193,0.166512355521932,8.28426342683306,384,1.09057829927341,0.854,0.852,0.856,0.995327102803738
"7485",1000,50,0.375,0.0145829029916545,0.0466441930633225,6,0.433697437637711,0.216616871678224,8.37742818594647,335,1.00618287154685,0.786,0.814,0.758,1.07387862796834
"7486",1000,50,0.375,0.0325656986417899,0.0528510884222693,7,0.533800935203741,0.266900199092765,8.92519530774677,335,0.944119875707262,0.783,0.778,0.788,0.987309644670051
"7487",1000,50,0.375,0.0747064549412692,0.0670602411889438,7,0.634247058960445,0.31690117493906,6.58052418044649,367,0.881307979269023,0.762,0.734,0.79,0.929113924050633
"7488",1000,50,0.375,0.0502874930895455,0.0672378417345977,7,0.722307551619455,0.361076328282742,7.10750240084398,377,0.943057852982888,0.77,0.76,0.78,0.974358974358974
"7489",1000,50,0.375,0.0906472226387309,0.101210750068369,7,0.832878991836475,0.414890790727247,8.07151902107518,299,0.865712253434156,0.713,0.71,0.716,0.991620111731844
"7490",1000,50,0.375,0.196068217331607,0.166012816505158,8,0.934907445201253,0.466753037447347,11.0498541585234,318,0.879210915250462,0.694,0.686,0.702,0.977207977207977
"7491",1500,50,0.375,-0.0316942608596378,0.0230705791963008,5,0.000643582976509025,0.00032178362514379,8.23232038708526,578,1.01772578891166,0.861333333333333,0.861333333333333,0.861333333333333,1
"7492",1500,50,0.375,0.00457001410525873,0.0242994330834779,5,0.114364753635971,0.0571739247812034,10.810808795821,519,1.02117462302792,0.842666666666667,0.82,0.865333333333333,0.947611710323575
