"","size","rep","tau","delt","alph","mod","psi","r0","degAssort","clustering","pathLen","n_components","r","q","time_steps","peak_size","peak_time","tot_inf","prev_m","prev_f","prev_ratio","prev_l","r_actual"
"117",1000,9,0.03,"100000",1,"i",0,1.02397759315683,-0.0286289194762888,0.0315701929474385,5,1,0,0.0091186297105961,17.9305650126303,21,1.64587316339392,67,NA,NA,Inf,NA,0.0182889426957224
"118",1000,9,0.03,"100000",1,"i",0,1.11251111826044,0.0258408725184379,0.0516549802504669,7,1,0.6,0.315552454756446,25.654530695746,13,16.0320656384301,79,NA,NA,Inf,NA,0.632747645023993
"119",1000,10,0.03,"100000",1,"i",0,1.0630495259363,-0.0163637423590355,0.0354728105873682,5,1,0,0.00671500962264932,5.44062960714237,15,2.80020184618414,35,NA,NA,1.65555555555556,NA,0.0134301575989893
"120",1000,10,0.03,"100000",1,"i",0,1.12811263980621,0.0125308352763072,0.0494610019023462,6,1,0.6,0.31562571365048,11.2218873708361,11,0.689200168330777,38,NA,NA,0.933333333333333,NA,0.631531611324036
"121",1000,1,0.06,"100000",1,"i",0,1.96786072503224,-0.0104635620439791,0.0327005832368553,5,1,0,-0.00137320688243264,28.6267138663011,19,7.42764485137614,163,NA,NA,1.73263888888889,NA,-0.00277125828867084
"122",1000,1,0.06,"100000",1,"i",0,2.12759707694512,0.00275203001469851,0.0470653601373876,6,1,0.6,0.31121931491566,37.3617624840114,71,11.8392827228287,415,NA,NA,1.39252755353335,NA,0.623206659253171
"123",1000,2,0.06,"100000",1,"i",0,1.94935520848259,-0.0105775195455304,0.0317871594429805,5,1,0,0.0202386698711984,16.7561133432832,52,7.66948892280445,257,NA,NA,0.911035466116595,NA,0.0404872521050336
"124",1000,2,0.06,"100000",1,"i",0,2.20280126092563,-0.0251812643456622,0.0479758803383778,8,1,0.6,0.315429417641088,18.8993662834778,107,6.23545856476431,446,NA,NA,1.45276268364161,NA,0.630880186003806
"125",1000,3,0.06,"100000",1,"i",0,1.97725318813584,-0.0174435107741797,0.0324148051524539,5,1,0,-0.00947679548173103,38.3874557237522,68,15.2319512367159,393,NA,NA,1.12419437231166,NA,-0.0189592336685969
"126",1000,3,0.06,"100000",1,"i",0,2.14184696947987,-0.00519337558184165,0.0457286785144451,7,1,0.6,0.312403529545507,24.7614416888306,86,8.33922839174314,423,NA,NA,1.27050739835872,NA,0.626105340377575
"127",1000,4,0.06,"100000",1,"i",0,1.94505659836653,-0.0251020364364839,0.0300341447782799,5,1,0,0.00711846673420455,27.3888016428444,77,7.0624155013712,452,NA,NA,0.966171686938852,NA,0.0142370159678754
"128",1000,4,0.06,"100000",1,"i",0,2.11519558676028,0.0151880491956945,0.0473413065347058,7,1,0.6,0.315853156259149,36.3016585072603,83,10.6272945069231,441,NA,NA,Inf,NA,0.632714598391399
"129",1000,5,0.06,"100000",1,"i",0,1.93665281558963,-0.0291126124052169,0.0299647082325261,5,1,0,-0.00909820736029554,22.6682776206268,114,6.11112130186846,450,NA,NA,0.95390950381964,NA,-0.0182319244652361
"130",1000,5,0.06,"100000",1,"i",0,2.1302407221665,0.011435033843342,0.0487019866213312,7,1,0.6,0.315954161380833,28.2640517111329,111,8.22273394329523,437,NA,NA,Inf,NA,0.632280843486507
"131",1000,6,0.06,"100000",1,"i",0,1.91101160624731,-0.0117200663138971,0.0308053940368675,5,1,0,-0.01220449714238,28.3003990599802,99,5.58743404201139,461,NA,NA,0.849209847579465,NA,-0.0244515642202204
